,X1,X2,X3,X4,Type,Issuer - Wind Sector,Y
1,0.606898,0.087141,0.060246,0.56068,CB,Industrials,0
2,0.574106,0.084837,0.057377,0.542234,CB,Industrials,0
3,0.543272,0.085818,0.057159,0.550631,CB,Industrials,0
4,0.175495,0.173244,0.037397,0.265165,CB,Real estate development (unanimous rating),0
5,0.618362,0.046765,0.016865,0.451355,CB,Industrials,0
6,0.624296,0.050722,0.017705,0.458085,CB,Industrials,0
7,0.659013,0.050518,0.014183,0.442457,CB,Industrials,0
8,0.365453,0.222773,0.068299,0.796672,CB,energy,0
9,0.307181,0.039287,0.006991,0.575186,CB,Industrials,0
10,0.279502,0.039491,0.006962,0.565233,CB,Industrials,0
11,-0.087826,-0.161158,-0.019579,-0.099156,CB,Industrials,0
12,-0.141038,-0.157745,-0.019802,-0.097542,CB,Industrials,0
13,-0.159646,-0.160344,-0.025864,-0.099179,CB,Industrials,0
14,0.216634,0.041756,0.019615,0.194161,CB,Real estate development (unanimous rating),0
15,-0.157846,0.109851,0.022556,0.403556,CB,Optional consumption,0
16,0.088614,0.032029,0.013486,0.861116,CB,Industrials,0
17,0.095326,0.037517,0.019392,0.870097,CB,Industrials,0
18,0.097692,0.036459,0.015834,0.881794,CB,Industrials,0
19,0.520154,0.072161,0.007722,0.512725,CB,Industrials,0
20,0.495318,0.071488,0.006603,0.524644,CB,Industrials,0
21,0.516905,0.072519,0.00703,0.537491,CB,Industrials,0
22,0.121512,0.303138,0.008864,0.487701,CB,Optional consumption,0
23,0.243669,0.175977,0.078714,0.877182,CB,Industrials,0
24,0.224312,0.176314,0.086156,0.794424,CB,Industrials,0
25,0.527078,0.067388,0.010538,0.916768,CB,Industrials,0
26,-0.138083,-0.013589,0.028628,0.455057,CB,energy,0
27,-0.141012,-0.012612,0.028689,0.439315,CB,energy,0
28,-0.135853,-0.008057,0.038625,0.424546,CB,energy,0
29,0.68571,0.051657,0.00587,0.431141,CB,Industrials,0
30,0.654806,0.050963,0.006583,0.431444,CB,Industrials,0
31,0.629242,0.049869,0.006644,0.41476,CB,Industrials,0
32,0.655238,0.102423,0.036927,0.594582,CB,Optional consumption,0
33,0.569068,0.094631,0.024859,0.531988,CB,Optional consumption,0
34,0.572141,0.091157,0.021515,0.514643,CB,Optional consumption,0
35,0.57132,0.054542,0.006418,0.523197,CB,Industrials,0
36,0.562301,0.05461,0.005299,0.519806,CB,Industrials,0
37,0.23277,0.001984,-0.017751,0.202165,CB,Real estate development (unanimous rating),1
38,0.541021,0.082088,0.003316,0.914634,CB,Industrials,0
39,0.218753,0.21058,0.058878,0.592358,CB,Industrials,0
40,0.205732,0.205029,0.058841,0.548123,CB,Industrials,0
41,0.199078,0.212712,0.062887,0.570185,CB,Industrials,0
42,0.175495,0.173244,0.037397,0.265165,CB,Real estate development (unanimous rating),0
43,0.463889,0.11266,0.021253,0.187118,CB,Real estate development (unanimous rating),0
44,0.427677,0.103412,0.015149,0.168433,CB,Real estate development (unanimous rating),0
45,0.463889,0.11266,0.021253,0.187118,CB,Real estate development (unanimous rating),0
46,0.427677,0.103412,0.015149,0.168433,CB,Real estate development (unanimous rating),0
47,0.412807,0.098358,0.008123,0.158708,CB,Real estate development (unanimous rating),0
48,0.418015,0.05142,0.027408,0.24579,CB,Real estate development (unanimous rating),0
49,0.432405,0.05356,0.027206,0.254498,CB,Real estate development (unanimous rating),0
50,0.417557,0.050404,0.026539,0.255305,CB,Real estate development (unanimous rating),0
51,0.23277,0.001984,-0.017751,0.202165,CB,Real estate development (unanimous rating),1
52,0.210892,0.187353,0.037853,0.354404,CB,Real estate development (unanimous rating),0
53,-0.085938,-0.05342,0.028814,0.408864,CB,energy,0
54,-0.106775,-0.056267,0.030321,0.417628,CB,energy,0
55,-0.132576,-0.053094,0.031054,0.407511,CB,energy,0
56,0.777679,0.027573,0.014462,1.008953,CB,Industrials,0
57,0.660757,0.028631,0.012051,1.218699,CB,Industrials,0
58,0.777679,0.027573,0.014462,1.008953,CB,Industrials,0
59,0.660757,0.028631,0.012051,1.218699,CB,Industrials,0
60,0.602073,0.089446,0.005715,1.347264,CB,Industrials,0
61,0.584055,0.084882,0.004721,1.165131,CB,Industrials,0
